Cluster Index	Z	x	y	z	
6	4.52	-62	-62	14
6	4.27	-40	-68	14
6	4.13	-42	-74	10
6	4.1	-40	-72	14
6	4.04	-38	-80	16
6	3.98	-44	-70	-8
5	3.66	-12	-72	46
5	3.64	4	-68	50
5	3.57	4	-68	46
5	3.53	0	-60	54
5	3.52	4	-50	52
5	3.49	-2	-48	50
4	4.44	58	-28	34
4	4.22	64	-26	34
4	4.09	62	-28	40
4	3.91	68	-30	20
4	3.8	64	-32	16
4	3.26	60	-22	16
3	4.8	42	-50	-46
3	4.15	46	-44	-26
3	4.12	44	-50	-30
3	3.46	46	-54	-38
3	3.35	34	-44	-48
3	3.1	36	-46	-38
2	3.57	-62	-28	36
2	3.52	-52	-46	22
2	3.48	-46	-32	28
2	3.42	-48	-42	24
2	3.39	-38	-48	22
2	3.3	-48	-38	30
1	4.85	-70	-26	14
1	4.4	-62	4	12
1	4.36	-62	-20	8
1	4.09	-66	-4	-4
1	4.04	-60	-24	10
1	3.43	-50	-20	12
