Cluster Index	Z	x	y	z	
6	4.54	-12	-88	-22
6	3.89	-10	-84	-36
6	3.86	-14	-98	-2
6	3.85	-12	-90	-42
6	3.73	-26	-86	-28
6	3.7	-34	-70	-42
5	6.29	58	-20	-4
5	5.99	56	-10	-2
5	4.99	66	-18	-4
5	4.76	44	-20	4
5	4.74	72	-26	-2
5	4.61	42	-24	8
4	4.18	-50	26	28
4	4.07	-36	20	46
4	3.91	-28	22	50
4	3.85	-46	20	18
4	3.59	-24	22	58
4	3.59	-46	18	24
3	6.56	-38	-42	14
3	6.28	-34	-36	14
3	6.16	-44	-44	14
3	5.36	-56	-26	2
3	4.78	-50	-26	-2
3	4.57	-44	-20	-2
2	4.43	10	-86	-34
2	3.88	12	-78	-42
2	3.71	44	-76	-44
2	3.67	8	-84	-24
2	3.55	40	-76	-42
2	3.51	18	-84	-36
1	4.34	-6	-10	0
1	3.86	2	-12	-14
1	3.16	-8	-14	-16
1	3.13	-14	-20	14
1	3	-6	-18	12
1	3	-18	-20	14
