Cluster Index	Z	x	y	z	
8	7.05	74	-30	2
8	6.79	66	-22	-6
8	6.47	74	-18	4
8	6.23	68	-28	4
8	5.88	48	-14	2
8	5.65	54	-14	4
7	6.07	-64	-44	-4
7	5.55	-46	-40	12
7	5.33	-42	-34	8
7	5.15	-66	-32	-4
7	5.14	-48	-40	4
7	4.92	-44	-36	2
6	4.44	58	30	-2
6	4.29	30	32	-22
6	3.98	48	16	-14
6	3.87	26	46	-20
6	3.66	56	22	-4
6	3.64	10	56	-12
5	5.49	-54	24	4
5	5.14	-56	20	8
5	4.62	-48	30	-20
5	4.51	-54	14	10
5	3.84	-36	10	-22
5	3.75	-48	38	-20
4	4.34	-42	-60	48
4	4.11	-48	-66	26
4	3.97	-44	-62	30
4	3.75	-42	-60	26
4	3.49	-38	-72	42
4	3.45	-36	-58	38
3	4.09	-22	-82	-44
3	3.84	-42	-78	-26
3	3.4	-50	-70	-26
3	3.3	-40	-74	-36
3	3.26	-48	-58	-28
3	3.21	-52	-70	-38
2	3.49	4	-68	-18
2	3.45	-14	-60	-26
2	3.42	-6	-60	-20
2	3.4	-18	-64	-24
2	3.39	4	-46	-12
2	3.33	-10	-58	-22
1	4.04	4	-86	-28
1	3.91	-8	-86	-28
1	3.38	-6	-92	-26
1	3.05	14	-86	-30
1	2.63	-10	-86	-38
1	2.46	18	-84	-24
