Cluster Index	Z	x	y	z	
6	6.91	-50	-18	0
6	6.68	-58	-12	-6
6	6.29	-40	-34	10
6	6.13	-62	-26	-4
6	6.05	-40	-28	4
6	6.03	-62	6	-16
5	6.37	52	-14	-8
5	6.35	58	-16	-6
5	6.22	58	0	-10
5	6.01	64	-20	-4
5	5.99	64	-6	-8
5	5.98	62	4	-6
4	4.58	22	-78	-52
4	4.44	18	-86	-42
4	4.24	-32	-66	-32
4	4.18	22	-78	-46
4	4.04	30	-62	-28
4	3.99	8	-92	-20
3	3.98	8	4	56
3	3.74	-2	14	56
3	3.68	10	8	46
3	3.5	-6	2	62
3	3.42	-4	30	44
3	3.25	6	26	48
2	4.13	28	-2	0
2	3.96	16	-2	12
2	3.64	30	-8	6
2	3.36	26	-4	12
2	3.2	14	0	6
2	3.2	22	-4	18
1	3.94	24	-14	-26
1	3.83	26	-18	-34
1	3.66	24	-12	-22
1	3.64	32	-22	-30
1	3.51	12	-34	-4
1	3.36	16	-24	-10
