Cluster Index	Z	x	y	z	
7	4.92	6	-62	72
7	4.38	0	-84	20
7	4.36	-8	-74	64
7	4.14	-12	-90	26
7	4.09	8	-68	16
7	4.08	-12	-58	70
6	6.52	70	-10	2
6	5.53	66	6	-4
6	5.46	54	-32	8
6	5.19	66	2	-2
6	5.01	60	-16	6
6	4.97	56	-24	8
5	7.34	-62	-14	4
5	7.11	-64	-16	8
5	6.9	-68	-26	14
5	6.32	-72	-24	10
5	5.92	-40	-38	12
5	5.72	-40	-36	16
4	4.1	32	44	8
4	3.53	28	56	14
4	3.43	24	60	18
4	3.4	50	40	2
4	3.35	28	56	-12
4	3.21	44	46	-6
3	3.67	56	0	50
3	3.66	52	2	48
3	3.55	40	12	24
3	3.51	48	-8	46
3	3.51	44	10	26
3	3.5	56	20	18
2	4.03	6	42	36
2	3.85	8	50	32
2	3.84	6	40	24
2	3.84	6	38	32
2	3.69	8	42	14
2	2.68	-8	36	18
1	4.28	48	-74	30
1	3.66	40	-80	34
1	3.38	30	-80	54
1	3.3	32	-76	40
1	3.01	32	-76	48
1	2.39	34	-70	46
